Title,Min,Average,Max
Software Engineer,13000,159221,371000
Product Manager,18000,164750,390000
Data Scientist,30000,186370,388000
Product Designer,47000,154923,280000
Hardware Engineer,104000,164263,265000
Solution Architect,44000,121750,156000
Technical Program Manager,68000,150125,195000
Mechanical Engineer,92000,148666,205000
Business Analyst,55000,97333,184000
Human Resources,56000,87000,134000
Marketing,70000,103000,134000
Software Engineering Manager,180000,180000,180000
Sales,141000,141000,141000
Management Consultant,75000,84500,94000
