employment_type,EN,MI,SE,EX
Data Science Consultant,63008,103000,103000,120000
Data Scientist,49330,72486,121582,121582
Machine Learning Engineer,103697,54429,109547,109547
Research Scientist,75000,189776,69209,69209
Data Analyst,58584,62697,104084,104084
Data Engineer,46391,77794,113747,113747
Data Science Engineer,0,40529,127543,127543
Data Engineering Manager,0,0,163500,79833
AI Scientist,22000,22000,55000,55000
3D Computer Vision Researcher,0,5423,5423,5423
ML Engineer,15966,270000,256000,256000
Applied Data Scientist,0,54376,54376,54376
Director of Data Science,0,0,168000,207669
Data Analytics Engineer,0,110000,64933,64933
Lead Data Analyst,0,53330,170000,170000
BI Data Analyst,9272,78244,78244,150000
Machine Learning Scientist,225000,12000,242500,242500
Machine Learning Infrastructure Engineer,0,50180,195000,195000
Lead Data Engineer,0,56000,166188,166188
Computer Vision Software Engineer,70000,96554,96554,96554
Financial Data Analyst,0,450000,450000,450000
Cloud Data Engineer,0,89514,160000,160000
Lead Data Scientist,0,115000,190000,190000
Big Data Engineer,11084,20336,111536,111536
Business Data Analyst,79800,135000,135000,155000
Principal Data Scientist,0,151000,186163,416000
Computer Vision Engineer,28850,28850,39526,39526
Principal Data Engineer,0,0,185000,600000
